DAY,TXNS,VOLUME,TRADERS,TOKENS_TRADED
2025-02-19,933,2899.3769843739997,335,158
2025-02-20,5933,1016943.471288775,1483,607
2025-02-21,5836,59743.93838285699,2225,733
2025-02-22,8081,10561.982350010001,2723,550
2025-02-23,17717,34031.502130601,4267,1064
2025-02-24,89944,188433.74168948503,13002,7230
2025-02-25,78629,71763.992299366,10581,6335
2025-02-26,80070,56127.91344620501,14163,7473
2025-02-27,51737,27890.260838277,7519,5909
2025-02-28,36970,16692.247338105,5858,5079
2025-03-01,29637,14211.894078607,5288,4412
2025-03-02,17569,7231.3728337620005,4235,3085
2025-03-03,19157,7385.091255130001,4861,3399
2025-03-04,19548,11359.603005894,4756,3163
2025-03-05,20983,6574.397983710001,4807,2974
2025-03-06,23032,8793.649341135999,4864,2643
2025-03-07,18586,5500.9250959949995,4511,2962
2025-03-08,14256,2890.6867108510005,3484,2409
2025-03-09,13613,3167.2611523230003,3539,2187
2025-03-10,9531,1974.8208691979999,2388,2181
2025-03-11,19750,4986.955605863,5396,3106
2025-03-12,12071,5311.06806629,3809,2358
2025-03-13,13760,3509.653228346,4212,2098
2025-03-14,10188,2624.3419513030003,3525,1771
2025-03-15,12092,2903.9195998389996,4315,1745
2025-03-16,10690,3578.093720475,3523,1518
2025-03-17,14116,4442.109118113,4501,2005
2025-03-18,9514,2424.3592486109997,2753,3107
2025-03-19,8416,1803.9283360639997,3166,1278
2025-03-20,6446,1340.247802298,2475,1333
2025-03-21,7908,2308.287950776,3184,1223
2025-03-22,7215,1121.521408014,3178,1175
2025-03-23,7165,1118.0160497779998,2635,1031
2025-03-24,8791,1463.6231871510001,3001,2536
2025-03-25,7422,8986.992681765,3102,1078
2025-03-26,8228,1484.7715677969998,3635,1114
2025-03-27,9113,2115.309016209,3549,1127
2025-03-28,19329,3239.396925563,6204,2951
2025-03-29,13527,2545.853381305,4614,2443
2025-03-30,13549,2290.034319261,4418,3146
2025-03-31,13922,7686.294911023,5029,1795
2025-04-01,15041,7168.89835729,5144,3197
2025-04-02,11172,8932.310508497,4441,2238
2025-04-03,9033,3088.883038962,3802,1176
2025-04-04,8701,2498.985438508,3772,1142
2025-04-05,10324,1809.341241311,3995,2095
2025-04-06,8699,1487.9186692700002,4094,1211
2025-04-07,8728,1545.0283752849998,3418,1884
2025-04-08,11664,2593.35527469,4926,1434
2025-04-09,9360,2022.3570637550001,4211,1221
2025-04-10,9472,2485.2444283610002,4417,1056
2025-04-11,7635,1937.007811657,3404,1009
2025-04-12,8429,1909.823330513,3612,1031
2025-04-13,5712,1362.3798341820002,2865,827
